year,att,n_matched_pairs,mean_treated,mean_control
2018,0.42227117885257703,1392,0.6397277518914873,0.2174565730389103
2019,0.43268736429203347,1515,0.6215708804715085,0.1888835161794751
2020,0.36135243216643653,1881,0.56430477029961,0.20295233813317348
2021,0.36009095494295684,2312,0.5746596259705787,0.21456867102762192
2022,0.3628250142049733,2902,0.6701902949525396,0.30736528074756625
2023,0.25801803288391145,431,0.7068299120855941,0.44881187920168264
Overall (weighted),0.37570027930549216,10433,,
